  2459174.236319     1.039329     0.009491 0 
  2459174.236514     1.040960     0.009491 0 
  2459174.236708     1.052429     0.009491 0 
  2459174.236903     1.050996     0.009491 0 
  2459174.237097     1.069384     0.009491 0 
  2459174.237292     1.044535     0.009491 0 
  2459174.237486     1.053703     0.009491 0 
  2459174.237680     1.048831     0.009491 0 
  2459174.237875     1.056876     0.009491 0 
  2459174.238069     1.052446     0.009491 0 
  2459174.238264     1.050161     0.009491 0 
  2459174.238458     1.050987     0.009491 0 
  2459174.238653     1.053708     0.009491 0 
  2459174.238847     1.046539     0.009491 0 
  2459174.239041     1.056380     0.009491 0 
  2459174.239236     1.048573     0.009491 0 
  2459174.239430     1.041203     0.009491 0 
  2459174.239625     1.046419     0.009491 0 
  2459174.239819     1.056480     0.009491 0 
  2459174.240014     1.058335     0.009491 0 
  2459174.240208     1.049383     0.009491 0 
  2459174.240402     1.049107     0.009491 0 
  2459174.240597     1.048975     0.009491 0 
  2459174.240798     1.058254     0.009491 0 
  2459174.240993     1.058381     0.009491 0 
  2459174.241187     1.055015     0.009491 0 
  2459174.241381     1.055134     0.009491 0 
  2459174.241576     1.041336     0.009491 0 
  2459174.241770     1.055575     0.009491 0 
  2459174.241965     1.060113     0.009491 0 
  2459174.242159     1.034663     0.009491 0 
  2459174.242354     1.055587     0.009491 0 
  2459174.242548     1.057160     0.009491 0 
  2459174.242742     1.041518     0.009491 0 
  2459174.242937     1.058035     0.009491 0 
  2459174.243131     1.057315     0.009491 0 
  2459174.243326     1.060680     0.009491 0 
  2459174.243520     1.048308     0.009491 0 
  2459174.243715     1.048265     0.009491 0 
  2459174.243909     1.053983     0.009491 0 
  2459174.244103     1.052685     0.009491 0 
  2459174.244298     1.050116     0.009491 0 
  2459174.244492     1.050164     0.009491 0 
  2459174.244687     1.046965     0.009491 0 
  2459174.244881     1.058906     0.009491 0 
  2459174.245076     1.051719     0.009491 0 
  2459174.245270     1.050671     0.009491 0 
  2459174.245464     1.050392     0.009491 0 
