  2455378.853300          -4114.00                         28.00	0	0
  2455387.785000          -3923.00                         19.00	0	0
  2455388.908900          -4173.00                         24.00	0	0
  2455389.777800          -3894.00                         40.00	0	0
  2455390.780200          -4074.00                         25.00	0	0
  2455391.869100          -4095.00                         20.00	0	0
  2455392.760400          -3905.00                         23.00	0	0
  2455396.899500          -4033.00                         39.00	0	0
  2455414.807500          -3981.00                         20.00	0	0
  2455446.827100          -4149.00                         27.00	0	0
  2455448.912800          -4013.00                         32.00	0	0
  2455449.856800          -4173.00                         24.00	0	0
  2455450.809500          -3912.00                         25.00	0	0
  2455451.808900          -4162.00                         25.00	0	0
  2455453.643900          -3999.00                         18.00	0	0
  2455454.848200          -4049.00                         26.00	0	0
  2455482.660000          -3978.00                         25.00	0	0
