  2459174.236319     1.035470     0.005916 0 
  2459174.236514     1.037621     0.005916 0 
  2459174.236708     1.048750     0.005916 0 
  2459174.236903     1.050922     0.005916 0 
  2459174.237097     1.065820     0.005916 0 
  2459174.237292     1.042110     0.005916 0 
  2459174.237486     1.053302     0.005916 0 
  2459174.237680     1.051507     0.005916 0 
  2459174.237875     1.056727     0.005916 0 
  2459174.238069     1.049151     0.005916 0 
  2459174.238264     1.051936     0.005916 0 
  2459174.238458     1.051570     0.005916 0 
  2459174.238653     1.056045     0.005916 0 
  2459174.238847     1.048796     0.005916 0 
  2459174.239041     1.053072     0.005916 0 
  2459174.239236     1.046539     0.005916 0 
  2459174.239430     1.043280     0.005916 0 
  2459174.239625     1.047296     0.005916 0 
  2459174.239819     1.056811     0.005916 0 
  2459174.240014     1.059513     0.005916 0 
  2459174.240208     1.049445     0.005916 0 
  2459174.240402     1.048123     0.005916 0 
  2459174.240597     1.046662     0.005916 0 
  2459174.240798     1.055334     0.005916 0 
  2459174.240993     1.058833     0.005916 0 
  2459174.241187     1.052445     0.005916 0 
  2459174.241381     1.056201     0.005916 0 
  2459174.241576     1.040581     0.005916 0 
  2459174.241770     1.056219     0.005916 0 
  2459174.241965     1.059349     0.005916 0 
  2459174.242159     1.031907     0.005916 0 
  2459174.242354     1.054104     0.005916 0 
  2459174.242548     1.057517     0.005916 0 
  2459174.242742     1.039854     0.005916 0 
  2459174.242937     1.058586     0.005916 0 
  2459174.243131     1.057131     0.005916 0 
  2459174.243326     1.062389     0.005916 0 
  2459174.243520     1.048756     0.005916 0 
  2459174.243715     1.051314     0.005916 0 
  2459174.243909     1.050452     0.005916 0 
  2459174.244103     1.051158     0.005916 0 
  2459174.244298     1.051661     0.005916 0 
  2459174.244492     1.048301     0.005916 0 
  2459174.244687     1.047783     0.005916 0 
  2459174.244881     1.055450     0.005916 0 
  2459174.245076     1.047095     0.005916 0 
  2459174.245270     1.045704     0.005916 0 
  2459174.245464     1.051427     0.005916 0 
  2459174.245659     1.049707     0.005916 0 
  2459174.245853     1.051988     0.005916 0 
  2459174.246048     1.052034     0.005916 0 
  2459174.246242     1.052698     0.005916 0 
  2459174.246437     1.047474     0.005916 0 
  2459174.246624     1.055894     0.005916 0 
  2459174.246825     1.050309     0.005916 0 
  2459174.247020     1.045391     0.005916 0 
  2459174.247214     1.053932     0.005916 0 
  2459174.247409     1.041554     0.005916 0 
  2459174.247596     1.059057     0.005916 0 
  2459174.247798     1.053704     0.005916 0 
  2459174.247992     1.049823     0.005916 0 
  2459174.248186     1.044878     0.005916 0 
  2459174.248381     1.047546     0.005916 0 
  2459174.248575     1.041955     0.005916 0 
  2459174.248770     1.046394     0.005916 0 
  2459174.248964     1.052394     0.005916 0 
  2459174.249159     1.057527     0.005916 0 
  2459174.249353     1.051897     0.005916 0 
  2459174.249547     1.056452     0.005916 0 
  2459174.249742     1.047283     0.005916 0 
  2459174.249936     1.043546     0.005916 0 
  2459174.250131     1.054919     0.005916 0 
  2459174.250325     1.055404     0.005916 0 
  2459174.250520     1.049992     0.005916 0 
  2459174.250714     1.048217     0.005916 0 
  2459174.250908     1.057711     0.005916 0 
  2459174.251103     1.050178     0.005916 0 
  2459174.251297     1.062620     0.005916 0 
  2459174.251492     1.052254     0.005916 0 
  2459174.251686     1.058815     0.005916 0 
  2459174.251881     1.048264     0.005916 0 
  2459174.252075     1.055863     0.005916 0 
  2459174.252269     1.054129     0.005916 0 
  2459174.252457     1.055431     0.005916 0 
  2459174.252658     1.053020     0.005916 0 
  2459174.252853     1.053777     0.005916 0 
  2459174.253047     1.051240     0.005916 0 
  2459174.253242     1.061082     0.005916 0 
  2459174.253436     1.050202     0.005916 0 
  2459174.253630     1.043562     0.005916 0 
  2459174.253825     1.059052     0.005916 0 
  2459174.254019     1.040751     0.005916 0 
  2459174.254214     1.053098     0.005916 0 
  2459174.254408     1.053656     0.005916 0 
  2459174.254603     1.041311     0.005916 0 
  2459174.254797     1.061127     0.005916 0 
  2459174.254991     1.047006     0.005916 0 
  2459174.255186     1.055931     0.005916 0 
  2459174.255380     1.052242     0.005916 0 
  2459174.255575     1.042296     0.005916 0 
  2459174.255769     1.052513     0.005916 0 
  2459174.255964     1.065370     0.005916 0 
  2459174.256158     1.055274     0.005916 0 
  2459174.256345     1.056433     0.005916 0 
  2459174.256547     1.051952     0.005916 0 
  2459174.256741     1.047442     0.005916 0 
  2459174.256936     1.048656     0.005916 0 
  2459174.257130     1.051551     0.005916 0 
  2459174.257325     1.043905     0.005916 0 
  2459174.257519     1.048660     0.005916 0 
  2459174.257713     1.050985     0.005916 0 
  2459174.257908     1.055444     0.005916 0 
  2459174.258102     1.042934     0.005916 0 
  2459174.258297     1.056578     0.005916 0 
  2459174.258491     1.049365     0.005916 0 
  2459174.258686     1.048049     0.005916 0 
  2459174.258880     1.040089     0.005916 0 
  2459174.259074     1.049086     0.005916 0 
  2459174.259269     1.067905     0.005916 0 
  2459174.259463     1.052139     0.005916 0 
  2459174.259658     1.057415     0.005916 0 
  2459174.259852     1.056149     0.005916 0 
  2459174.260047     1.055318     0.005916 0 
  2459174.260234     1.052332     0.005916 0 
  2459174.260435     1.047745     0.005916 0 
  2459174.260630     1.050409     0.005916 0 
  2459174.260824     1.057052     0.005916 0 
  2459174.261019     1.062181     0.005916 0 
  2459174.261213     1.054368     0.005916 0 
  2459174.261408     1.046853     0.005916 0 
  2459174.261602     1.059992     0.005916 0 
  2459174.261796     1.055116     0.005916 0 
  2459174.261991     1.052867     0.005916 0 
  2459174.262185     1.056805     0.005916 0 
  2459174.262380     1.054863     0.005916 0 
  2459174.262574     1.053950     0.005916 0 
  2459174.262775     1.048240     0.005916 0 
  2459174.262963     1.047800     0.005916 0 
  2459174.263157     1.046903     0.005916 0 
  2459174.263352     1.047654     0.005916 0 
  2459174.263546     1.060076     0.005916 0 
  2459174.263741     1.055880     0.005916 0 
  2459174.263935     1.041174     0.005916 0 
  2459174.264130     1.051032     0.005916 0 
  2459174.264324     1.043229     0.005916 0 
  2459174.264518     1.048969     0.005916 0 
  2459174.264713     1.054639     0.005916 0 
  2459174.264907     1.041080     0.005916 0 
  2459174.265102     1.057383     0.005916 0 
  2459174.265296     1.038349     0.005916 0 
  2459174.265490     1.045886     0.005916 0 
  2459174.265692     1.056672     0.005916 0 
  2459174.265879     1.055488     0.005916 0 
  2459174.266074     1.057283     0.005916 0 
  2459174.266268     1.053395     0.005916 0 
  2459174.266463     1.049041     0.005916 0 
  2459174.266664     1.046643     0.005916 0 
  2459174.266851     1.042982     0.005916 0 
