# SENTINEL Thu Dec  3 00:32:49  /home/labaf2/labaf2-00/TASTE/WASP-52_example/reduced                            
#              target x_0:   282.00
#              target y_0:    64.00
#          reference x_r0:   458.00
#          reference y_r0:    94.00
#        aperture 1 (pix):     3.00
#        aperture 2 (pix):     6.00
#       inn annulus (pix):    12.00
#       out annulus (pix):    25.00
#      centroiding method:   moment
# nf 1 name 2.s min 3 expt 4 x 5 y 6 dx 7 dy 8 xr 9 yr 10 fw 11 peak 12 a1 13 a2 14 r1 15 r2 16 lc1 17 lc2 18 sky 19 abflux 20
  30 AF328499.cor   3.07   3.0  280.90   64.10   0.04  -0.20  457.25   93.92  2.22   43478.   144212.   150340.    34841.    36437.  4.139149  4.126086   118.0    100.959
  31 AF328500.cor   3.18   3.0  280.77   64.35  -0.09   0.05  457.25   94.15  2.58   33993.   144310.   150281.    34656.    36343.  4.164101  4.135084   118.6    100.699
  32 AF328501.cor   3.28   3.0  280.62   64.27  -0.24  -0.03  457.10   94.03  2.66   30852.   143793.   150036.    34535.    36161.  4.163678  4.149168   118.4    100.194
  33 AF328502.cor   3.39   3.0  280.69   64.24  -0.17  -0.06  457.08   94.02  2.58   35161.   144115.   149899.    34987.    36455.  4.119138  4.111907   118.3    101.009
  34 AF328503.cor   3.49   3.0  280.55   64.17  -0.31  -0.14  456.83   93.91  2.00   37030.   145314.   151216.    34881.    36406.  4.165979  4.153618   117.5    100.874
  35 AF328504.cor   3.60   3.0  280.68   64.06  -0.17  -0.24  457.01   93.92  2.34   38981.   145563.   151383.    34971.    36366.  4.162404  4.162708   118.0    100.764
  36 AF328505.cor   3.71   3.0  280.48   64.11  -0.38  -0.19  456.91   93.85  2.42   38528.   144369.   149863.    34950.    36373.  4.130723  4.120139   118.0    100.783
  37 AF328506.cor   3.81   3.0  280.40   64.12  -0.45  -0.19  456.88   93.94  2.38   43000.   144875.   150863.    34932.    36528.  4.147402  4.130054   118.7    101.212
  38 AF328507.cor   3.92   3.0  280.70   64.00  -0.16  -0.31  457.04   93.86  2.46   33706.   145301.   151119.    34808.    36226.  4.174342  4.171605   118.9    100.374
  39 AF328508.cor   4.02   3.0  280.76   64.00  -0.09  -0.31  457.08   93.79  2.52   39631.   144091.   150012.    34605.    36115.  4.163827  4.153689   118.1    100.069
  40 AF328509.cor   4.13   3.0  280.80   64.05  -0.05  -0.25  457.14   93.85  2.50   35592.   144589.   150971.    34810.    36459.  4.153712  4.140797   118.2    101.022
  41 AF328510.cor   4.23   3.0  280.77   64.35  -0.09   0.05  457.18   94.12  2.58   32395.   144795.   151238.    34598.    36311.  4.184999  4.165115   118.5    100.610
  42 AF328511.cor   4.34   3.0  280.98   64.16   0.13  -0.15  457.28   94.01  2.60   40187.   143566.   150239.    34673.    36493.  4.140561  4.116989   117.5    101.114
  43 AF328512.cor   4.44   3.0  280.83   64.29  -0.02  -0.02  457.37   94.09  2.42   37260.   144106.   150219.    34994.    36627.  4.117961  4.101335   117.6    101.486
  44 AF328513.cor   4.55   3.0  280.92   64.32   0.06   0.01  457.28   94.08  2.58   36071.   144262.   150685.    34672.    36317.  4.160830  4.149219   117.5    100.626
  45 AF328514.cor   4.66   3.0  281.00   64.52   0.14   0.22  457.43   94.28  2.28   35287.   144207.   151100.    34881.    36721.  4.134262  4.114826   117.5    101.746
  46 AF328515.cor   4.76   3.0  280.85   64.38  -0.00   0.08  457.21   94.16  2.44   33101.   145153.   151342.    34625.    36266.  4.192132  4.173162   118.1    100.485
  47 AF328516.cor   4.87   3.0  280.89   64.18   0.04  -0.12  457.45   94.07  2.44   30583.   142464.   150142.    34241.    36631.  4.160683  4.098764   117.5    101.497
  48 AF328517.cor   4.97   3.0  281.06   64.20   0.21  -0.10  457.30   93.99  2.66   37247.   142882.   150445.    34278.    36442.  4.168271  4.128360   117.8    100.973
