7284.416804015  4.128983000  0.024819364 0 
7284.416880404  4.124820000  0.024809027 0 
7284.416949848  4.180706000  0.025179137 0 
7284.417026236  4.133923000  0.024822360 0 
7284.417095680  4.158718000  0.025092953 0 
7284.417172068  4.142409000  0.024843074 0 
7284.417248456  4.169979000  0.025139935 0 
7284.417317900  4.196435000  0.025302145 0 
7284.417394289  4.173451000  0.025112111 0 
7284.417463733  4.138189000  0.024905171 0 
7284.417540121  4.147769000  0.024959443 0 
7284.417609565  4.159386000  0.025018542 0 
7284.417685953  4.147744000  0.024788439 0 
7284.417762342  4.165833000  0.025061560 0 
7284.417831786  4.165995000  0.025000852 0 
7284.417908174  4.196295000  0.025466448 0 
7284.417977619  4.166349000  0.025310840 0 
7284.418054007  4.121922000  0.024812090 0 
7284.418123451  4.178669000  0.025198674 0 
7284.418199839  4.179751000  0.025108240 0 
7284.418276228  4.166518000  0.025091668 0 
7284.418345672  4.162838000  0.025111318 0 
7284.418422060  4.130836000  0.024859767 0 
7284.418491504  4.140099000  0.024883300 0 
7284.418567893  4.107342000  0.024752750 0 
7284.418644281  4.192810000  0.025225086 0 
7284.418713725  4.168596000  0.025018255 0 
7284.418790113  4.161363000  0.024943936 0 
7284.418859557  4.134696000  0.024656712 0 
7284.418935946  4.139149000  0.024709039 0 
7284.419012334  4.164101000  0.024909734 0 
7284.419081778  4.163678000  0.024951020 0 
7284.419158166  4.119138000  0.024549837 0 
7284.419227610  4.165979000  0.024839351 0 
7284.419303999  4.162404000  0.024788155 0 
7284.419380387  4.130723000  0.024625137 0 
7284.419449831  4.147402000  0.024721282 0 
7284.419526220  4.174342000  0.024910469 0 
7284.419595664  4.163827000  0.024926554 0 
7284.419672052  4.153712000  0.024798576 0 
7284.419741496  4.184999000  0.025043546 0 
7284.419817884  4.140561000  0.024776448 0 
7284.419887329  4.117961000  0.024540997 0 
7284.419963717  4.160830000  0.024886337 0 
7284.420040105  4.134262000  0.024668549 0 
7284.420109550  4.192132000  0.025072366 0 
7284.420185938  4.160683000  0.025041668 0 
7284.420255382  4.168271000  0.025069304 0 
7284.420331770  4.140328000  0.024854148 0 
7284.420401214  4.176847000  0.025027046 0 
7284.420477603  4.169615000  0.024929080 0 
7284.420553991  4.163697000  0.024824950 0 
7284.420623435  4.158985000  0.024829507 0 
7284.420699823  4.119143000  0.024553689 0 
7284.420769267  4.147013000  0.024802350 0 
7284.420845656  4.144845000  0.024761043 0 
7284.420922044  4.156434000  0.024853236 0 
7284.420991488  4.161536000  0.024823295 0 
7284.421067877  4.148851000  0.024752807 0 
7284.421137320  4.159374000  0.024817632 0 
7284.421213709  4.147130000  0.024656689 0 
7284.421290097  4.144902000  0.024746045 0 
7284.421359541  4.141222000  0.024707085 0 
7284.421435930  4.164980000  0.024805548 0 
7284.421505374  4.176691000  0.025024005 0 
7284.421581762  4.170053000  0.025066209 0 
7284.421658151  4.170704000  0.025007174 0 
7284.421727594  4.169070000  0.025005547 0 
7284.421803983  4.159126000  0.024922049 0 
7284.421873427  4.160458000  0.024902615 0 
7284.421949815  4.132669000  0.024664243 0 
7284.422019260  4.153880000  0.024843717 0 
7284.422095648  4.175698000  0.025107118 0 
7284.422165092  4.128875000  0.024741873 0 
7284.422241480  4.154070000  0.024922127 0 
7284.422317868  4.156598000  0.024884966 0 
7284.422387312  4.175268000  0.025116137 0 
7284.422463701  4.133780000  0.024738010 0 
7284.422533145  4.164531000  0.024846139 0 
7284.422609533  4.151389000  0.024805638 0 
7284.422685922  4.158284000  0.024973259 0 
7284.422755365  4.203942000  0.025334541 0 
7284.422831754  4.188123000  0.025112081 0 
7284.422901198  4.143874000  0.024814032 0 
7284.422977586  4.144997000  0.024780423 0 
7284.423047030  4.150753000  0.024758441 0 
7284.423123419  4.183328000  0.025596293 0 
7284.423199807  4.120488000  0.026918364 0 
7284.423269251  4.094807000  0.025816345 0 
7284.423345639  4.138371000  0.025613473 0 
7284.423415083  4.110316000  0.025727180 0 
7284.423491472  4.133475000  0.026128198 0 
7284.423560916  4.129224000  0.025805062 0 
7284.423637304  4.201808000  0.026033395 0 
7284.423713692  4.171412000  0.025692828 0 
7284.423783137  4.165106000  0.025336449 0 
7284.423859525  4.192380000  0.025598816 0 
7284.423928969  4.197097000  0.025665456 0 
7284.424005358  4.153972000  0.025546600 0 
7284.424074802  4.183883000  0.025804901 0 
7284.424151190  4.151510000  0.025431155 0 
7284.424227578  4.145290000  0.025800140 0 
7284.424297022  4.141273000  0.026334540 0 
7284.424373411  4.162151000  0.026489803 0 
7284.424442855  4.129221000  0.025858757 0 
7284.424519243  4.160014000  0.026372660 0 
7284.424595632  4.124936000  0.026167113 0 
7284.424665076  4.170775000  0.026764540 0 
7284.424741464  4.084097000  0.026771101 0 
7284.424887296  4.131748000  0.026634877 0 
7284.424956740  4.102613000  0.026001884 0 
7284.425033129  4.149923000  0.026472704 0 
7284.425109517  4.182624000  0.027070744 0 
7284.425178961  4.183156000  0.026877362 0 
7284.425255349  4.157323000  0.026279452 0 
7284.425324793  4.196889000  0.026201118 0 
7284.425401182  4.169599000  0.025887145 0 
7284.425470626  4.165847000  0.025848784 0 
7284.425547014  4.139153000  0.025773292 0 
7284.425623402  4.144129000  0.025688007 0 
7284.425692847  4.122150000  0.025297856 0 
7284.425769235  4.159816000  0.025416050 0 
7284.425838679  4.162430000  0.025450403 0 
7284.425915067  4.181365000  0.025507764 0 
7284.425984511  4.133587000  0.025082210 0 
7284.426060900  4.138396000  0.025155980 0 
7284.426137288  4.174803000  0.025612336 0 
7284.426206732  4.131930000  0.025201222 0 
7284.426283120  4.170980000  0.025684520 0 
7284.426352564  4.142148000  0.025281373 0 
7284.426428953  4.175657000  0.025615896 0 
7284.426505341  4.154480000  0.025411902 0 
7284.426574785  4.116336000  0.025025228 0 
7284.426651174  4.146971000  0.025145492 0 
7284.426720618  4.154907000  0.025281219 0 
7284.426797006  4.144567000  0.025137876 0 
7284.426866450  4.130232000  0.025051568 0 
7284.426942838  4.137768000  0.025023606 0 
7284.427019227  4.156255000  0.025163893 0 
7284.427088671  4.166616000  0.025220516 0 
7284.427165059  4.157763000  0.025180703 0 
7284.427234503  4.177610000  0.025292606 0 
7284.427310891  4.127633000  0.024834798 0 
7284.427380336  4.158162000  0.025004899 0 
7284.427456724  4.162954000  0.024977468 0 
7284.427533112  4.174040000  0.025097355 0 
7284.427602557  4.143720000  0.024858489 0 
7284.427678945  4.179796000  0.025197473 0 
7284.427748389  4.143901000  0.024796668 0 
7284.427824777  4.136892000  0.024792764 0 
7284.427894221  4.163455000  0.024961757 0 
7284.427970610  4.135882000  0.024675509 0 
7284.428046998  4.175496000  0.025074629 0 
7284.428116442  4.135564000  0.024733037 0 
7284.428192831  4.156983000  0.024897884 0 
7284.428262274  4.108589000  0.024508840 0 
7284.428338663  4.164790000  0.024930677 0 
7284.428415051  4.151953000  0.024756347 0 
7284.428484495  4.159212000  0.024813938 0 
7284.428560883  4.160952000  0.024892668 0 
7284.428630327  4.136303000  0.024718551 0 
7284.428706716  4.157820000  0.024909254 0 
7284.428776159  4.146374000  0.024924611 0 
7284.428852548  4.152143000  0.024896508 0 
7284.428921992  4.137789000  0.024843639 0 
7284.428998380  4.073931000  0.024332799 0 
7284.429074769  4.154495000  0.024950492 0 
7284.429144213  4.164248000  0.025043826 0 
7284.429220601  4.141824000  0.024958822 0 
7284.429290045  4.154104000  0.024969081 0 
7284.429366434  4.152514000  0.025029049 0 
7284.429435878  4.152838000  0.025016153 0 
7284.429512266  4.128026000  0.024881232 0 
7284.429588655  4.189458000  0.025269364 0 
7284.429658099  4.131845000  0.024791273 0 
7284.429734487  4.125602000  0.024728821 0 
